House Title,House Subtitle,Contractor,Address,Phone Number,Amount,Bedrooms,Bathrooms,Toilets,Parking Space,Link
Spacious 8 Bedroom Detached Duplex With Gen & Gate House On 514 Sqm,8 bedroom detached duplex for sale,Scalozie Global Services,"Stadium Road Port Harcourt, Port Harcourt, Rivers",08030894616,"₦120,000,000",8,10,10,514,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1796209-spacious-8-bedroom-detached-duplex-with-gen-gate-house-on-514-sqm
"Standard 4 Bedroom Duplex, All Rooms Ensuit In Port-harcour",4 bedroom detached duplex for sale,Mandels Properties,"Paradise Estate Off Eneka Link Road, Rumuowha Eneka, Obio Akpor Lga,, Obio-Akpor, Rivers",08062881764,"₦120,000,000",4,5,5,,https:/for-sale/houses/detached-duplexes/rivers/obio-akpor/1796112-standard-4-bedroom-duplex-all-rooms-ensuit-in-port-harcour
Newly Built 6 Units Of 2 Bedroom Flats,2 bedroom block of flats for sale,Aito Properties Ltd,"Rumuodomaya, Port Harcourt, Rivers",09060587316,"₦85,000,000",2,12,18,20,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/rumuodomaya/1795263-newly-built-6-units-of-2-bedroom-flats
Solidly Built 3 Units Of Terraced Duplex,8 bedroom terraced duplex for sale,Aito Properties Ltd,"Eneka Link Road, Shell Cooperative Estate, Eliozu, Port Harcourt, Rivers",09060587316,"₦85,000,000",8,8,11,8,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/eliozu/1795321-solidly-built-3-units-of-terraced-duplex
Exquisitely Finished 4 Bedroom Detached Duplex,4 bedroom detached duplex for sale,Bluehedge Realtors,"Paradise Estate, Eneka, Port Harcourt, Rivers",+2348177766119,"₦120,000,000",4,4,5,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/eneka/1744517-exquisitely-finished-4-bedroom-detached-duplex
A Residential Estate Having 8 Units Of Semi-detached Bungalows,19 bedroom block of flats for sale,Obum Okoli & Partners,"Off Rumuagholu Road, Port Harcourt, Rivers",08061675102,"₦130,000,000",19,19,29,18,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1713064-a-residential-estate-having-8-units-of-semi-detached-bungalows
4 Units 2 Bedroom Flats & 4 Units 1 Bedroom Flats On 573 Sqm Plot,Block of flats for sale,Scalozie Global Services,"Off Rumuokwurusi Tank Flyover By 2nd Market, Eneka, Eneka, Port Harcourt, Rivers",08030894616,"₦22,000,000",573,,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/eneka/1746030-4-units-2-bedroom-flats-4-units-1-bedroom-flats-on-573-sqm-plot
Executive Luxury 5 Bedroom Detached Duplex With Penthouse,5 bedroom detached duplex for sale,Scalozie Global Services,"Off Peter Odili Road, Port Harcourt, Rivers",08030894616,"₦200,000,000",5,6,6,700,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1738303-executive-luxury-5-bedroom-detached-duplex-with-penthouse
Newly Built 5 Bedroom Mansion Duplex With 2 Bq On 1 Plot,5 bedroom detached duplex for sale,Scalozie Global Services,"Apo Road, Rukpokwu, Port Harcourt, Rivers",08030894616,"₦95,000,000",5,6,6,473,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rukpokwu/1727050-newly-built-5-bedroom-mansion-duplex-with-2-bq-on-1-plot
Executive 6 Bedroom Detached Duplex On 2 Plots In An Estate,6 bedroom detached duplex for sale,Scalozie Global Services,"Power Encounter Off East West Road By Bon Hotel, Rumuodara, Port Harcourt, Rivers",08030894616,"₦80,000,000",6,7,7,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rumuodara/1630176-executive-6-bedroom-detached-duplex-on-2-plots-in-an-estate
