Location,House_Type,Contractor,Address,Bedrooms,Bathrooms,Toilets,Parking_Space,Price
Abuja,Flat,Jes Unique,"Riverpark Estate, Lugbe District, Abuja",,,,,300000000
Abuja,Detached duplex,Kinchozi Enterprise,"Nicon Transcorp Hilton, Asokoro District, Abuja",8,8,9,,1900000000
Abuja,Detached duplex,Kinchozi Enterprise,"Naf Valley Estate, Asokoro District, Abuja",5,5,6,,350000000
Abuja,Terraced duplex,Mubdhab Homes Ltd,"Galadimawa, Abuja",3,3,4,,45000000
Abuja,Bungalow,Mubdhab Homes Ltd,"Lokogoma District, Abuja",3,3,4,,35000000
Abuja,Detached duplex,Lexxon Nigeria,"After Coza, Guzape District, Abuja",5,6,,,148000000
Abuja,Detached duplex,Lexxon Nigeria,"Near Citec Mbora, Life Camp, Abuja",4,5,,,130000000
Abuja,Terraced duplex,Quid And Stones Ltd,"By Gilmore, Jahi, Abuja",4,4,5,2,145000000
Abuja,Terraced duplex,,"Zartech, Wuye, Abuja",4,5,5,2,80000000
Abuja,Detached duplex,Lexxon Nigeria,"Asokoro Main, Asokoro District, Abuja",8,9,8,15,1500000000
Abuja,Terraced duplex,Ingens Premier,"Jahi, Abuja",4,4,5,3,100000000
Abuja,Terraced duplex,Ingens Premier,"Guzape District, Abuja",4,4,5,4,69000000
Abuja,Terraced duplex,Ingens Premier,"Jahi, Abuja",4,4,5,4,89000000
Abuja,Detached duplex,Kolynxproperties,"Off 69 Road, Gwarinpa, Abuja",5,6,6,,150000000
Abuja,Detached duplex,Coldfire Creative,"By Vio, Mabushi, Mabushi, Abuja",5,5,6,4,150000000
Abuja,Semi duplex,Chyglosco Homes,"G-empire Smart Homes Is Located At, Durumi, Abuja",5,5,,,150000000
Abuja,Detached duplex,Chyglosco Homes,"G-empire Garden Is Located At, Guzape District, Abuja",4,4,,,85000000
Abuja,Terraced duplex,Dittoholaris Limited,"Lokogoma District, Abuja",4,5,5,,135000000
Abuja,Semi Bungalow,Coldfire Creative,"By Utako Police Station, Utako, Utako, Abuja",2,2,3,4,400000000
Abuja,Terraced duplex,Nikok Negotiate Ltd.,"Katampe Extension, Katampe, Abuja",5,5,6,,135000000
Abuja,Detached duplex,Lighthouse Property Managers,"Apo Resettlement Zone, Apo, Abuja",6,7,7,5,280000000
Abuja,Terraced duplex,Ecogrove Realty,"Wuse 2, Abuja",4,4,5,4,363027864
Abuja,Detached duplex,Lighthouse Property Managers,"Apo Resettlement Zone, Apo, Abuja",6,7,7,5,280000000
Abuja,Detached duplex,Loyalty Homes Limited,"Guzape District, Abuja",8,8,8,,1000000000
Abuja,Detached duplex,Ecogrove Realty,"Katampe, Abuja",6,6,7,6,325000000
Abuja,Semi Bungalow,Bluehedge Realtors,"Kubwa, Abuja",3,3,4,3,36500000
Abuja,Flat,Bluehedge Realtors,"By Stamford Hotel, Kubwa, Abuja",2,2,3,10,300000000
Abuja,Detached duplex,Abode Landmark Network,"Guzape District, Abuja",7,7,8,1600,950000000
Abuja,Detached duplex,Abode Landmark Network,"Guzape District, Abuja",5,5,6,,680000000
Abuja,Terraced duplex,Nikok Negotiate Ltd.,"Jabi, Abuja",4,4,5,,290000000
Abuja,Semi duplex,Leapinglead Services,"Gaduwa District, Gaduwa, Abuja",4,4,5,6,110000000
Abuja,Semi duplex,Leapinglead Services,"Nizamiya Hospital, Karmo, Abuja",4,4,5,5,70000000
Abuja,Terraced duplex,Terkuma Zasha,"Sambo Avenue, Mbora (Nbora), Abuja",4,4,5,3,42000000
Abuja,Detached duplex,Lexxon Nigeria,"Wuye, Abuja",5,6,,,250000000
Abuja,Detached duplex,Shang Properties,"Maitama District, Abuja",9,4000,,,3821345938
Abuja,Terraced duplex,F.fayankinnu & Co,"Brains&hammers City, Life Camp, Abuja",4,3,4,,30000000
Abuja,Semi Bungalow,F.fayankinnu & Co,"Trademore Estate, Lugbe District, Abuja",4,4,5,4,26000000
Abuja,Terraced duplex,Onaga Transport And Logistics,"Wuye, Abuja",4,4,5,3,85000000
Abuja,Semi duplex,Leapinglead Services,"Suncity Estate, Galadimawa, Abuja",4,4,5,350,26000000
Abuja,Terraced duplex,Leapinglead Services,"First Avenue, Gwarinpa, Abuja",4,4,5,3,75000000
Abuja,Terraced duplex,Propstreet Facilitators,"Mabushi, Abuja",4,4,5,3,100000000
Abuja,Detached duplex,Gepdan Properties Ltd,"By Ic World Setraco, Gwarinpa, Abuja",9,9,10,8,500000000
Abuja,Flat,Jes Unique,"Riverpark Estate, Lugbe District, Abuja",,,,,300000000
Abuja,Terraced duplex,Leapinglead Services,"First Avenue, Gwarinpa, Abuja",4,4,5,3,75000000
Abuja,Terraced duplex,Propstreet Facilitators,"Mabushi, Abuja",4,4,5,3,100000000
Abuja,Detached duplex,Gepdan Properties Ltd,"By Ic World Setraco, Gwarinpa, Abuja",9,9,10,8,500000000
Abuja,Detached duplex,Rigid Tower Engineering Consults,"Gwarinpa Extension, Gwarinpa, Abuja",5,5,5,,180000000
Abuja,Detached duplex,Gepdan Properties Ltd,"Team 6, Gwarinpa, Abuja",9,9,10,1200,450000000
Abuja,Detached duplex,Gepdan Properties Ltd,"Efab Metropolis Estate, Gwarinpa, Abuja",8,8,9,10,200000000
Abuja,Detached duplex,Gepdan Properties Ltd,"Efab Metropolis Estate, Gwarinpa, Abuja",6,6,7,10,230000000
Abuja,Flat,Jes Unique,"Riverpark Estate, Lugbe District, Abuja",,,,,300000000
Abuja,Detached duplex,Gepdan Properties Ltd,"Mab Global Estate After Charley Boy, Gwarinpa, Abuja",5,5,6,8,190000000
Abuja,Detached duplex,Gepdan Properties Ltd,"Off Aminu Saleh Road, Katampe Extension, Katampe, Abuja",7,7,8,8,450000000
Abuja,Semi duplex,Onaga Transport And Logistics,"Utako, Abuja",5,7300,,,2200000000
Abuja,Flat,Onaga Transport And Logistics,"Nizamye Hospital, Idu Industrial, Abuja",4,4,5,4,140000000
Abuja,Semi duplex,Xtric Global Limited,"H Estate, Apo, Abuja",4,5,5,4,125000000
Abuja,Semi duplex,Propstreet Facilitators,"Berger Club House, Life Camp, Abuja",4,4,5,5,185000000
Abuja,Detached duplex,Nikee Properties,"Jabi, Abuja",5,6,,,350000000
Abuja,Detached duplex,Lettyglobalrealtors,"Kaura, Abuja",5,6,6,8,200000000
Abuja,Detached duplex,Shang Properties,"Maitama District, Abuja",9,,,,1800000000
Abuja,Detached duplex,Hakeemsanusi Adeshina,"Gwarimpa Estate, Gwarinpa, Abuja",8,9,9,10,550000000
Abuja,Semi duplex,Arc and g ,"4th Avenue, Gwarinpa, Abuja",5,6,6,5,135000000
Abuja,Terraced duplex,Arc and g ,"4th Avenue, Gwarinpa, Abuja",4,4,5,,70000000
Abuja,Flat,Jes Unique,"Riverpark Estate, Lugbe District, Abuja",,,,,300000000
Abuja,Detached duplex,Arc and g ,"4th Avenue, Gwarinpa, Abuja",8,8,8,6,500000000
Abuja,Terraced duplex,Arc and g ,"By Gilmore, Jahi, Abuja",5,3,2000,,100000000
Abuja,Terraced duplex,Arc and g ,"Katampe Extension, Katampe Extension, Katampe, Abuja",5,6,6,4,2800000000
Abuja,Flat,Arc and g ,"Jahi, Abuja",2,2,3,,42000000
Abuja,Terraced duplex,Abode Landmark Network,"Jahi, Abuja",4,4,5,,180000000
